date,fund,company,ticker,cusip,shares,market_value,weight_percent
10/16/2020,ARKK,TESLA INC,TSLA,88160R101,2466031,1084239849.77,10.07
10/16/2020,ARKK,INVITAE CORP,NVTA,46185L103,17671295,831081003.85,7.72
10/16/2020,ARKK,SQUARE INC - A,SQ,852234103,3773026,703103395.1,6.53
10/16/2020,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5566294,611346070.02,5.68
10/16/2020,ARKK,ROKU INC,ROKU,77543R102,2683170,596522354.4,5.54
10/16/2020,ARKK,PROTO LABS INC,PRLB,743713109,2562240,373805193.6,3.47
10/16/2020,ARKK,SLACK TECHNOLOGIES INC- CL A,WORK,83088V102,10713810,345520372.5,3.21
10/16/2020,ARKK,ZILLOW GROUP INC - C,Z,98954M200,3193739,310143994.29,2.88
10/16/2020,ARKK,LENDINGTREE INC,TREE UW,52603B107,897984,303087559.68,2.82
10/16/2020,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,16046103,293162301.81,2.72
10/16/2020,ARKK,2U INC,TWOU,90214J101,8154344,290294646.4,2.7
10/16/2020,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,8422971,286802162.55,2.66
10/16/2020,ARKK,TELADOC HEALTH INC,TDOC,87918A105,1249244,276445204.76,2.57
10/16/2020,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5125641,246235793.64,2.29
10/16/2020,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,7170082,241344960.12,2.24
10/16/2020,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,6278167,236310205.88,2.2
10/16/2020,ARKK,PAGERDUTY INC,PD,69553P100,7198015,219251536.9,2.04
10/16/2020,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,783711,205763323.05,1.91
10/16/2020,ARKK,ILLUMINA INC,ILMN,452327109,608801,198657854.31,1.85
10/16/2020,ARKK,VERACYTE INC,VCYT,92337F107,4259387,182386951.34,1.69
10/16/2020,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6850930,178877782.3,1.66
10/16/2020,ARKK,COMPUGEN LTD,CGEN,M25722105,10985448,173679932.88,1.61
10/16/2020,ARKK,TWILIO INC - A,TWLO,90138F102,494346,161389138.62,1.5
10/16/2020,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1667559,158284700.28,1.47
10/16/2020,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,1815350,157390845,1.46
10/16/2020,ARKK,SPLUNK INC,SPLK,848637104,746859,154749184.8,1.44
