date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
10/27/2020,ARKW,"TESLA INC",TSLA,88160R101,685380.00,291067178.40,9.69
10/27/2020,ARKW,"ROKU INC",ROKU,77543R102,875660.00,197084796.20,6.56
10/27/2020,ARKW,"SQUARE INC - A",SQ,852234103,1015892.00,173737849.84,5.78
10/27/2020,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1961134.00,102998757.68,3.43
10/27/2020,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,352800.00,99944712.00,3.33
10/27/2020,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,315295.00,90631547.75,3.02
10/27/2020,ARKW,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,3097869.00,86523481.17,2.88
10/27/2020,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4938835.00,86232059.10,2.87
10/27/2020,ARKW,"LENDINGTREE INC","TREE UW",52603B107,243840.00,82181395.20,2.74
10/27/2020,ARKW,"SNAP INC - A",SNAP,83304A106,1978411.00,82183192.94,2.74
10/27/2020,ARKW,"PAGERDUTY INC",PD,69553P100,2671027.00,78074119.21,2.60
10/27/2020,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,4940304.00,77414563.68,2.58
10/27/2020,ARKW,"TWILIO INC - A",TWLO,90138F102,265286.00,75948728.94,2.53
10/27/2020,ARKW,"2U INC",TWOU,90214J101,1929041.00,72030390.94,2.40
10/27/2020,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,936661.00,71888731.75,2.39
10/27/2020,ARKW,"SEA LTD-ADR",SE,81141R100,395267.00,68100551.43,2.27
10/27/2020,ARKW,"HUYA INC-ADR",HUYA,44852D108,3087494.00,67893993.06,2.26
10/27/2020,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,300400.00,67007224.00,2.23
10/27/2020,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,686617.00,63525804.84,2.11
10/27/2020,ARKW,"NETFLIX INC",NFLX,64110L106,123938.00,60597006.34,2.02
10/27/2020,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,619417.00,60430322.52,2.01
10/27/2020,ARKW,"VERACYTE INC",VCYT,92337F107,1526791.00,55575192.40,1.85
10/27/2020,ARKW,"AMAZON.COM INC",AMZN,023135106,16729.00,54977014.57,1.83
10/27/2020,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,173296.00,54959093.44,1.83
10/27/2020,ARKW,"SPLUNK INC",SPLK,848637104,257714.00,53802951.78,1.79
10/27/2020,ARKW,"MERCADOLIBRE INC",MELI,58733R102,34993.00,44877472.71,1.49
10/27/2020,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,62965.00,38620212.40,1.29
10/27/2020,ARKW,"SOCIAL CAPITAL HEDOSOPHIA-A",IPOB,G8250T109,2117599.00,38519125.81,1.28
10/27/2020,ARKW,"CROWDSTRIKE HOLDINGS INC - A",CRWD,22788C105,268719.00,35868612.12,1.19
10/27/2020,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,467792.00,34831792.32,1.16
10/27/2020,ARKW,"HUBSPOT INC",HUBS,443573100,114670.00,34923895.20,1.16
10/27/2020,ARKW,"UNITY SOFTWARE INC",U,91332U101,328160.00,34128640.00,1.14
10/27/2020,ARKW,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,385733.00,33446908.43,1.11
10/27/2020,ARKW,"ATLASSIAN CORP PLC-CLASS A",TEAM,G06242104,155286.00,33077470.86,1.10
10/27/2020,ARKW,"TWITTER INC",TWTR,90184L102,633811.00,32495489.97,1.08
10/27/2020,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,55036.00,29663853.64,0.99
10/27/2020,ARKW,"ADYEN NV-UNSPON ADR",ADYEY,00783V104,798734.00,29712904.80,0.99
10/27/2020,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,149101.00,29884313.43,0.99
10/27/2020,ARKW,"NVIDIA CORP",NVDA,67066G104,55683.00,29838849.21,0.99
10/27/2020,ARKW,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,429601.00,29363228.35,0.98
10/27/2020,ARKW,"JD.COM INC-ADR",JD,47215P106,351024.00,29138502.24,0.97
10/27/2020,ARKW,"SYNOPSYS INC",SNPS,871607107,128953.00,28744913.23,0.96
10/27/2020,ARKW,"OKTA INC",OKTA,679295105,129509.00,28664226.97,0.95
10/27/2020,ARKW,"DOCUSIGN INC",DOCU,256163106,126255.00,28051967.81,0.93
10/27/2020,ARKW,"ADOBE INC",ADBE,00724F101,57498.00,27516242.88,0.92
10/27/2020,ARKW,"LENDINGCLUB CORP",LC,52603A208,4717790.00,22315146.70,0.74
10/27/2020,ARKW,"AGORA INC-ADR",API,00851L103,447394.00,19058984.40,0.63
10/27/2020,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,276318.00,15468281.64,0.51
10/27/2020,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,11803.00,12781350.67,0.43
