date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
10/29/2020,ARKG,"INVITAE CORP",NVTA,46185L103,6276325.00,274651982.00,9.47
10/29/2020,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,2555893.00,246260290.55,8.49
10/29/2020,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,15240443.00,203612318.48,7.02
10/29/2020,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,2955154.00,162474366.92,5.60
10/29/2020,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,1671382.00,132640875.52,4.57
10/29/2020,ARKG,"CAREDX INC",CDNA,14167L103,2201382.00,112512634.02,3.88
10/29/2020,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,2941506.00,105541235.28,3.64
10/29/2020,ARKG,"PERSONALIS INC",PSNL,71535D106,3934130.00,103152888.60,3.56
10/29/2020,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3364899.00,100475884.14,3.46
10/29/2020,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,439604.00,95785315.56,3.30
10/29/2020,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,721602.00,86956649.01,3.00
10/29/2020,ARKG,"COMPUGEN LTD",CGEN,M25722105,6083912.00,82437007.60,2.84
10/29/2020,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,1704938.00,77796320.94,2.68
10/29/2020,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4436731.00,74980753.90,2.59
10/29/2020,ARKG,"ILLUMINA INC",ILMN,452327109,234157.00,73736039.30,2.54
10/29/2020,ARKG,"CELLECTIS - ADR",CLLS,15117K103,4367842.00,71457895.12,2.46
10/29/2020,ARKG,"INCYTE CORP",INCY,45337C102,768891.00,66908894.82,2.31
10/29/2020,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2026424.00,66456575.08,2.29
10/29/2020,ARKG,"VERACYTE INC",VCYT,92337F107,1780163.00,65527800.03,2.26
10/29/2020,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2409636.00,60120418.20,2.07
10/29/2020,ARKG,"CERUS CORP",CERS,157085101,8188288.00,45485939.84,1.57
10/29/2020,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,851228.00,44127659.52,1.52
10/29/2020,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,943476.00,44201850.60,1.52
10/29/2020,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,209022.00,43269644.22,1.49
10/29/2020,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,273570.00,38502241.80,1.33
10/29/2020,ARKG,"ACCOLADE INC",ACCD,00437E102,1095893.00,38345296.07,1.32
10/29/2020,ARKG,"SCHRODINGER INC",SDGR,80810D103,612261.00,31892675.49,1.10
10/29/2020,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,1959234.00,31249782.30,1.08
10/29/2020,ARKG,"GUARDANT HEALTH INC",GH,40131M109,277024.00,30383992.32,1.05
10/29/2020,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,357981.00,27947576.67,0.96
10/29/2020,ARKG,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,3789135.00,26069248.80,0.90
10/29/2020,ARKG,"PHREESIA INC",PHR,71944F106,675173.00,25454022.10,0.88
10/29/2020,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,530146.00,24975178.06,0.86
10/29/2020,ARKG,"CODEXIS INC",CDXS,192005106,1672164.00,22925368.44,0.79
10/29/2020,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,547808.00,20301764.48,0.70
10/29/2020,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,508766.00,18473293.46,0.64
10/29/2020,ARKG,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,1953714.00,18189077.34,0.63
10/29/2020,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,4574378.00,18068793.10,0.62
10/29/2020,ARKG,"THERMO FISHER SCIENTIFIC INC",TMO,883556102,33620.00,15864605.60,0.55
10/29/2020,ARKG,"APPLE INC",AAPL,037833100,128557.00,14825193.24,0.51
10/29/2020,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,26632.00,14801799.28,0.51
10/29/2020,ARKG,"EVOGENE LTD",EVGN,M4119S104,4602387.00,13669089.39,0.47
10/29/2020,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,102249.00,7760699.10,0.27
10/29/2020,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,269725.00,7010152.75,0.24
10/29/2020,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,538072.00,4589754.16,0.16
10/29/2020,ARKG,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,4508925.48,4508925.48,0.16
10/29/2020,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,375748.00,3535788.68,0.12
,,,,,,,
,,,,,,,
