date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/5/2020,ARKF,"SQUARE INC - A",SQ,852234103,559359.00,98016477.57,9.73
11/5/2020,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,847363.00,53782129.61,5.34
11/5/2020,ARKF,"MERCADOLIBRE INC",MELI,58733R102,35675.00,51293515.00,5.09
11/5/2020,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,509249.00,41162596.67,4.08
11/5/2020,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,397566.00,40138263.36,3.98
11/5/2020,ARKF,"SEA LTD-ADR",SE,81141R100,203573.00,37583647.26,3.73
11/5/2020,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,178549.00,36523983.44,3.62
11/5/2020,ARKF,"LENDINGTREE INC","TREE UW",52603B107,120996.00,35693820.00,3.54
11/5/2020,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,339502.00,35257282.70,3.50
11/5/2020,ARKF,"MEITUAN-CLASS B",3690,BGJW376,812815.00,34553076.59,3.43
11/5/2020,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,119987.00,34526259.25,3.43
11/5/2020,ARKF,"ADYEN NV",ADYEN,BZ1HM42,18034.00,34426044.07,3.42
11/5/2020,ARKF,"Z HOLDINGS CORP",4689,6084848,4596314.00,29242208.26,2.90
11/5/2020,ARKF,"AMAZON.COM INC",AMZN,023135106,8129.00,27004538.00,2.68
11/5/2020,ARKF,"TWILIO INC - A",TWLO,90138F102,83791.00,25769084.14,2.56
11/5/2020,ARKF,"SNAP INC - A",SNAP,83304A106,593219.00,24648249.45,2.45
11/5/2020,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,82754.00,24385948.72,2.42
11/5/2020,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,4395645.00,23300875.68,2.31
11/5/2020,ARKF,"APPLE INC",AAPL,037833100,191803.00,22830311.09,2.27
11/5/2020,ARKF,"SPLUNK INC",SPLK,848637104,95791.00,20018403.18,1.99
11/5/2020,ARKF,"DOCUSIGN INC",DOCU,256163106,76031.00,18001859.87,1.79
11/5/2020,ARKF,"INTUIT INC",INTU,461202103,49893.00,17510447.28,1.74
11/5/2020,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,376196.00,15237552.58,1.51
11/5/2020,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,63019.00,14193769.37,1.41
11/5/2020,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,141234.00,12771790.62,1.27
11/5/2020,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,121637.00,12714715.61,1.26
11/5/2020,ARKF,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,464046.00,12738062.70,1.26
11/5/2020,ARKF,"PINDUODUO INC-ADR",PDD,722304102,103047.00,11651524.29,1.16
11/5/2020,ARKF,"SBI HOLDINGS INC",8473,6309466,477274.00,11704241.91,1.16
11/5/2020,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,183249.00,11421910.17,1.13
11/5/2020,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,271444.00,11251353.80,1.12
11/5/2020,ARKF,"NVIDIA CORP",NVDA,67066G104,19340.00,10954176.00,1.09
