date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/19/2020,ARKQ,"TESLA INC",TSLA,88160R101,227920.00,113793618.40,11.67
11/19/2020,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,1551874.00,67103031.76,6.88
11/19/2020,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,24544.00,43293652.48,4.44
11/19/2020,ARKQ,"2U INC",TWOU,90214J101,1209050.00,40865890.00,4.19
11/19/2020,ARKQ,"DEERE & CO",DE,244199105,144405.00,36908473.95,3.78
11/19/2020,ARKQ,"PROTO LABS INC",PRLB,743713109,264158.00,35043200.28,3.59
11/19/2020,ARKQ,"TRIMBLE INC",TRMB,896239100,601603.00,34736557.22,3.56
11/19/2020,ARKQ,"JD.COM INC-ADR",JD,47215P106,397929.00,34237811.16,3.51
11/19/2020,ARKQ,"XILINX INC",XLNX,983919101,249554.00,33180699.84,3.40
11/19/2020,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,709324.00,32160750.16,3.30
11/19/2020,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,959554.00,31051167.44,3.18
11/19/2020,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,1487303.00,30727679.98,3.15
11/19/2020,ARKQ,"CATERPILLAR INC",CAT,149123101,166173.00,28731311.70,2.95
11/19/2020,ARKQ,"WORKHORSE GROUP INC",WKHS,98138J206,1092168.00,24879587.04,2.55
11/19/2020,ARKQ,"STRATASYS LTD",SSYS,M85548101,1704221.00,23620503.06,2.42
11/19/2020,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,241991.00,23378750.51,2.40
11/19/2020,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,154146.00,23329997.10,2.39
11/19/2020,ARKQ,"FLIR SYSTEMS INC",FLIR,302445101,607299.00,22828369.41,2.34
11/19/2020,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,270838.00,22563513.78,2.31
11/19/2020,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,915870.00,22159474.65,2.27
11/19/2020,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,910866.00,21906327.30,2.25
11/19/2020,ARKQ,"SPLUNK INC",SPLK,848637104,101906.00,20307827.68,2.08
11/19/2020,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,144418.00,19710168.64,2.02
11/19/2020,ARKQ,"SYNOPSYS INC",SNPS,871607107,82581.00,18273523.68,1.87
11/19/2020,ARKQ,"TERADYNE INC",TER,880770102,158488.00,16874217.36,1.73
11/19/2020,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,433477.00,15557489.53,1.60
11/19/2020,ARKQ,"ANSYS INC",ANSS,03662Q105,42501.00,13775424.12,1.41
11/19/2020,ARKQ,"AMAZON.COM INC",AMZN,023135106,4189.00,13057196.78,1.34
11/19/2020,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,2188478.00,12824481.08,1.32
11/19/2020,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,17228.00,12644490.60,1.30
11/19/2020,ARKQ,"EXONE CO/THE",XONE,302104104,1003858.00,10881820.72,1.12
11/19/2020,ARKQ,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,138107.00,10382884.26,1.06
11/19/2020,ARKQ,"NVIDIA CORP",NVDA,67066G104,19313.00,10382861.93,1.06
11/19/2020,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,85429.00,9920015.48,1.02
11/19/2020,ARKQ,"AUTODESK INC",ADSK,052769106,36945.00,9490431.60,0.97
11/19/2020,ARKQ,"ROCKWELL AUTOMATION INC",ROK,773903109,37237.00,9314463.18,0.96
11/19/2020,ARKQ,"APPLE INC",AAPL,037833100,77085.00,9145364.40,0.94
11/19/2020,ARKQ,"HONEYWELL INTERNATIONAL INC",HON,438516106,24960.00,5059891.20,0.52
11/19/2020,ARKQ,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,5114265.77,5114265.77,0.52
11/19/2020,ARKQ,"RAVEN INDUSTRIES INC",RAVN,754212108,180524.00,4249534.96,0.44
11/19/2020,ARKQ,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,198425.00,1765982.50,0.18
,,,,,,,
,,,,,,,
